Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
P15884	ITF2_HUMAN	reviewed	Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2)	TCF4 BHLHB19 ITF2 SEF2	Homo sapiens (Human)	667	TFs
O00327	BMAL1_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 1 (Basic-helix-loop-helix-PAS protein MOP3) (Brain and muscle ARNT-like 1) (Class E basic helix-loop-helix protein 5) (bHLHe5) (Member of PAS protein 3) (PAS domain-containing protein 3) (bHLH-PAS protein JAP3)	ARNTL BHLHE5 BMAL1 MOP3 PASD3	Homo sapiens (Human)	626	TFs
Q99081	HTF4_HUMAN	reviewed	Transcription factor 12 (TCF-12) (Class B basic helix-loop-helix protein 20) (bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4)	TCF12 BHLHB20 HEB HTF4	Homo sapiens (Human)	682	TFs
Q9BW11	MAD3_HUMAN	reviewed	Max dimerization protein 3 (Max dimerizer 3) (Class C basic helix-loop-helix protein 13) (bHLHc13) (Max-associated protein 3) (Max-interacting transcriptional repressor MAD3) (Myx)	MXD3 BHLHC13 MAD3	Homo sapiens (Human)	206	TFs
O75030	MITF_HUMAN	reviewed	Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32) (bHLHe32)	MITF BHLHE32	Homo sapiens (Human)	526	TFs
Q9HCC6	HES4_HUMAN	reviewed	Transcription factor HES-4 (hHES4) (Class B basic helix-loop-helix protein 42) (bHLHb42) (Hairy and enhancer of split 4) (bHLH factor Hes4)	HES4 BHLHB42	Homo sapiens (Human)	221	TFs
Q5JUK2	SOLH1_HUMAN	reviewed	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 1	SOHLH1 C9orf157 NOHLH TEB2	Homo sapiens (Human)	328	TFs
Q8WVJ9	TWST2_HUMAN	reviewed	Twist-related protein 2 (Class A basic helix-loop-helix protein 39) (bHLHa39) (Dermis-expressed protein 1) (Dermo-1)	TWIST2 BHLHA39 DERMO1	Homo sapiens (Human)	160	TFs
Q9NQ33	ASCL3_HUMAN	reviewed	Achaete-scute homolog 3 (ASH-3) (hASH3) (Class A basic helix-loop-helix protein 42) (bHLHa42) (bHLH transcriptional regulator Sgn-1)	ASCL3 BHLHA42 HASH3 SGN1	Homo sapiens (Human)	180	TFs
Q99743	NPAS2_HUMAN	reviewed	Neuronal PAS domain-containing protein 2 (Neuronal PAS2) (Basic-helix-loop-helix-PAS protein MOP4) (Class E basic helix-loop-helix protein 9) (bHLHe9) (Member of PAS protein 4) (PAS domain-containing protein 4)	NPAS2 BHLHE9 MOP4 PASD4	Homo sapiens (Human)	824	TFs
Q9BYE0	HES7_HUMAN	reviewed	Transcription factor HES-7 (hHes7) (Class B basic helix-loop-helix protein 37) (bHLHb37) (Hairy and enhancer of split 7) (bHLH factor Hes7)	HES7 BHLHB37	Homo sapiens (Human)	225	TFs
Q9NX45	SOLH2_HUMAN	reviewed	Spermatogenesis- and oogenesis-specific basic helix-loop-helix-containing protein 2	SOHLH2 TEB1	Homo sapiens (Human)	425	TFs
Q7RTU0	TCF24_HUMAN	reviewed	Transcription factor 24 (TCF-24)	TCF24	Homo sapiens (Human)	167	TFs
Q15853	USF2_HUMAN	reviewed	Upstream stimulatory factor 2 (Class B basic helix-loop-helix protein 12) (bHLHb12) (FOS-interacting protein) (FIP) (Major late transcription factor 2) (Upstream transcription factor 2)	USF2 BHLHB12	Homo sapiens (Human)	346	TFs
Q7RTS1	BHA15_HUMAN	reviewed	Class A basic helix-loop-helix protein 15 (bHLHa15) (Class B basic helix-loop-helix protein 8) (bHLHb8) (Muscle, intestine and stomach expression 1) (MIST-1)	BHLHA15 BHLHB8 MIST1	Homo sapiens (Human)	189	TFs
Q13951	PEBB_HUMAN	reviewed	Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)	CBFB	Homo sapiens (Human)	182	TFs
Q15744	CEBPE_HUMAN	reviewed	CCAAT/enhancer-binding protein epsilon (C/EBP epsilon)	CEBPE	Homo sapiens (Human)	281	TFs
P53567	CEBPG_HUMAN	reviewed	CCAAT/enhancer-binding protein gamma (C/EBP gamma)	CEBPG	Homo sapiens (Human)	150	TFs
P17676	CEBPB_HUMAN	reviewed	CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)	CEBPB TCF5 PP9092	Homo sapiens (Human)	345	TFs
P49716	CEBPD_HUMAN	reviewed	CCAAT/enhancer-binding protein delta (C/EBP delta) (Nuclear factor NF-IL6-beta) (NF-IL6-beta)	CEBPD	Homo sapiens (Human)	269	TFs
P49715	CEBPA_HUMAN	reviewed	CCAAT/enhancer-binding protein alpha (C/EBP alpha)	CEBPA CEBP	Homo sapiens (Human)	358	TFs
Q9Y6Y1	CMTA1_HUMAN	reviewed	Calmodulin-binding transcription activator 1	CAMTA1 KIAA0833 MSTP023	Homo sapiens (Human)	1673	TFs
O94983	CMTA2_HUMAN	reviewed	Calmodulin-binding transcription activator 2	CAMTA2 KIAA0909	Homo sapiens (Human)	1202	TFs
Q9UH73	COE1_HUMAN	reviewed	Transcription factor COE1 (O/E-1) (OE-1) (Early B-cell factor)	EBF1 COE1 EBF	Homo sapiens (Human)	591	TFs
Q9BQW3	COE4_HUMAN	reviewed	Transcription factor COE4 (Early B-cell factor 4) (EBF-4) (Olf-1/EBF-like 4) (O/E-4) (OE-4)	EBF4 COE4 KIAA1442	Homo sapiens (Human)	602	TFs
Q9H4W6	COE3_HUMAN	reviewed	Transcription factor COE3 (Early B-cell factor 3) (EBF-3) (Olf-1/EBF-like 2) (O/E-2) (OE-2)	EBF3 COE3	Homo sapiens (Human)	596	TFs
Q9HAK2	COE2_HUMAN	reviewed	Transcription factor COE2 (Early B-cell factor 2) (EBF-2)	EBF2 COE2	Homo sapiens (Human)	575	TFs
Q6ISB3	GRHL2_HUMAN	reviewed	Grainyhead-like protein 2 homolog (Brother of mammalian grainyhead) (Transcription factor CP2-like 3)	GRHL2 BOM TFCP2L3	Homo sapiens (Human)	625	TFs
Q12800	TFCP2_HUMAN	reviewed	Alpha-globin transcription factor CP2 (SAA3 enhancer factor) (Transcription factor LSF)	TFCP2 LSF SEF	Homo sapiens (Human)	502	TFs
Q9NZI6	TF2L1_HUMAN	reviewed	Transcription factor CP2-like protein 1 (CP2-related transcriptional repressor 1) (CRTR-1) (Transcription factor LBP-9)	TFCP2L1 CRTR1 LBP9	Homo sapiens (Human)	479	TFs
Q9NZI7	UBIP1_HUMAN	reviewed	Upstream-binding protein 1 (Transcription factor LBP-1)	UBP1 LBP1	Homo sapiens (Human)	540	TFs
Q8TE85	GRHL3_HUMAN	reviewed	Grainyhead-like protein 3 homolog (Sister of mammalian grainyhead) (Transcription factor CP2-like 4)	GRHL3 SOM TFCP2L4	Homo sapiens (Human)	626	TFs
Q9NZI5	GRHL1_HUMAN	reviewed	Grainyhead-like protein 1 homolog (Mammalian grainyhead) (NH32) (Transcription factor CP2-like 2) (Transcription factor LBP-32)	GRHL1 LBP32 MGR TFCP2L2	Homo sapiens (Human)	618	TFs
Q9Y2T7	YBOX2_HUMAN	reviewed	Y-box-binding protein 2 (Contrin) (DNA-binding protein C) (Dbpc) (Germ cell-specific Y-box-binding protein) (MSY2 homolog)	YBX2 CSDA3 MSY2	Homo sapiens (Human)	364	TFs
P16989	YBOX3_HUMAN	reviewed	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA	Homo sapiens (Human)	372	TFs
Q9Y534	CSDC2_HUMAN	reviewed	Cold shock domain-containing protein C2 (RNA-binding protein PIPPin)	CSDC2 PIPPIN	Homo sapiens (Human)	153	TFs
Q6ZN17	LN28B_HUMAN	reviewed	Protein lin-28 homolog B (Lin-28B)	LIN28B CSDD2	Homo sapiens (Human)	250	TFs
Q9H9Z2	LN28A_HUMAN	reviewed	Protein lin-28 homolog A (Lin-28A) (Zinc finger CCHC domain-containing protein 1)	LIN28A CSDD1 LIN28 ZCCHC1	Homo sapiens (Human)	209	TFs
Q9Y2V2	CHSP1_HUMAN	reviewed	Calcium-regulated heat-stable protein 1 (Calcium-regulated heat-stable protein of 24 kDa) (CRHSP-24)	CARHSP1	Homo sapiens (Human)	147	TFs
P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324	TFs
O75534	CSDE1_HUMAN	reviewed	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	Homo sapiens (Human)	798	TFs
Q9UBG7	RBPJL_HUMAN	reviewed	Recombining binding protein suppressor of hairless-like protein (Transcription factor RBP-L)	RBPJL RBPL RBPSUHL	Homo sapiens (Human)	517	TFs
Q06330	SUH_HUMAN	reviewed	Recombining binding protein suppressor of hairless (CBF-1) (J kappa-recombination signal-binding protein) (RBP-J kappa) (RBP-J) (RBP-JK) (Renal carcinoma antigen NY-REN-30)	RBPJ IGKJRB IGKJRB1 RBPJK RBPSUH	Homo sapiens (Human)	500	TFs
Q12857	NFIA_HUMAN	reviewed	Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein)	NFIA KIAA1439	Homo sapiens (Human)	509	TFs
O00712	NFIB_HUMAN	reviewed	Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)	NFIB	Homo sapiens (Human)	420	TFs
P08651	NFIC_HUMAN	reviewed	Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein)	NFIC NFI	Homo sapiens (Human)	508	TFs
Q14938	NFIX_HUMAN	reviewed	Nuclear factor 1 X-type (NF1-X) (Nuclear factor 1/X) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/X) (NF-I/X) (NFI-X) (TGGCA-binding protein)	NFIX	Homo sapiens (Human)	502	TFs
O14529	CUX2_HUMAN	reviewed	Homeobox protein cut-like 2 (Homeobox protein cux-2)	CUX2 CUTL2 KIAA0293	Homo sapiens (Human)	1486	TFs
Q9UBC0	HNF6_HUMAN	reviewed	Hepatocyte nuclear factor 6 (HNF-6) (One cut domain family member 1) (One cut homeobox 1)	ONECUT1 HNF6 HNF6A	Homo sapiens (Human)	465	TFs
P39880	CUX1_HUMAN	reviewed	Homeobox protein cut-like 1 (CCAAT displacement protein) (CDP) (Homeobox protein cux-1)	CUX1 CUTL1	Homo sapiens (Human)	1505	TFs
Q13948	CASP_HUMAN	reviewed	Protein CASP	CUX1 CUTL1	Homo sapiens (Human)	678	TFs
O60422	ONEC3_HUMAN	reviewed	One cut domain family member 3 (One cut homeobox 3) (Transcription factor ONECUT-3) (OC-3)	ONECUT3	Homo sapiens (Human)	494	TFs
Q01826	SATB1_HUMAN	reviewed	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	SATB1	Homo sapiens (Human)	763	TFs
Q9UPW6	SATB2_HUMAN	reviewed	DNA-binding protein SATB2 (Special AT-rich sequence-binding protein 2)	SATB2 KIAA1034	Homo sapiens (Human)	733	TFs
O95948	ONEC2_HUMAN	reviewed	One cut domain family member 2 (Hepatocyte nuclear factor 6-beta) (HNF-6-beta) (One cut homeobox 2) (Transcription factor ONECUT-2) (OC-2)	ONECUT2 HNF6B	Homo sapiens (Human)	504	TFs
Q9NQL9	DMRT3_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor 3	DMRT3 DMRTA3	Homo sapiens (Human)	472	TFs
Q5VZB9	DMRTA_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor A1	DMRTA1 DMO	Homo sapiens (Human)	504	TFs
Q9Y5R5	DMRT2_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor 2 (Doublesex-like 2 protein) (DSXL-2)	DMRT2 DSXL2	Homo sapiens (Human)	561	TFs
Q96MA1	DMRTB_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor B1	DMRTB1	Homo sapiens (Human)	342	TFs
Q9Y5R6	DMRT1_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor 1 (DM domain expressed in testis protein 1)	DMRT1 DMT1	Homo sapiens (Human)	373	TFs
Q96SC8	DMTA2_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor A2 (Doublesex- and mab-3-related transcription factor 5)	DMRTA2 DMRT5	Homo sapiens (Human)	542	TFs
Q8IXT2	DMRTD_HUMAN	reviewed	Doublesex- and mab-3-related transcription factor C2	DMRTC2	Homo sapiens (Human)	367	TFs
Q15329	E2F5_HUMAN	reviewed	Transcription factor E2F5 (E2F-5)	E2F5	Homo sapiens (Human)	346	TFs
O00716	E2F3_HUMAN	reviewed	Transcription factor E2F3 (E2F-3)	E2F3 KIAA0075	Homo sapiens (Human)	465	TFs
Q96AV8	E2F7_HUMAN	reviewed	Transcription factor E2F7 (E2F-7)	E2F7	Homo sapiens (Human)	911	TFs
Q01094	E2F1_HUMAN	reviewed	Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1)	E2F1 RBBP3	Homo sapiens (Human)	437	TFs
Q14209	E2F2_HUMAN	reviewed	Transcription factor E2F2 (E2F-2)	E2F2	Homo sapiens (Human)	437	TFs
Q14186	TFDP1_HUMAN	reviewed	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)	TFDP1 DP1	Homo sapiens (Human)	410	TFs
Q16254	E2F4_HUMAN	reviewed	Transcription factor E2F4 (E2F-4)	E2F4	Homo sapiens (Human)	413	TFs
O75461	E2F6_HUMAN	reviewed	Transcription factor E2F6 (E2F-6)	E2F6	Homo sapiens (Human)	281	TFs
Q5H9I0	TFDP3_HUMAN	reviewed	Transcription factor Dp family member 3 (Cancer/testis antigen 30) (CT30) (Hepatocellular carcinoma-associated antigen 661)	TFDP3 DP4 HCA661	Homo sapiens (Human)	405	TFs
Q14188	TFDP2_HUMAN	reviewed	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2 DP2	Homo sapiens (Human)	446	TFs
A0AVK6	E2F8_HUMAN	reviewed	Transcription factor E2F8 (E2F-8)	E2F8	Homo sapiens (Human)	867	TFs
P11474	ERR1_HUMAN	reviewed	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	Homo sapiens (Human)	423	TFs
P06401	PRGR_HUMAN	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	PGR NR3C3	Homo sapiens (Human)	933	TFs
P03372	ESR1_HUMAN	reviewed	Estrogen receptor (ER) (ER-alpha) (Estradiol receptor) (Nuclear receptor subfamily 3 group A member 1)	ESR1 ESR NR3A1	Homo sapiens (Human)	595	TFs
Q92731	ESR2_HUMAN	reviewed	Estrogen receptor beta (ER-beta) (Nuclear receptor subfamily 3 group A member 2)	ESR2 ESTRB NR3A2	Homo sapiens (Human)	530	TFs
P62508	ERR3_HUMAN	reviewed	Estrogen-related receptor gamma (ERR gamma-2) (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3)	ESRRG ERR3 ERRG2 KIAA0832 NR3B3	Homo sapiens (Human)	458	TFs
P10275	ANDR_HUMAN	reviewed	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	AR DHTR NR3C4	Homo sapiens (Human)	920	TFs
P08235	MCR_HUMAN	reviewed	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	NR3C2 MCR MLR	Homo sapiens (Human)	984	TFs
P04150	GCR_HUMAN	reviewed	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	NR3C1 GRL	Homo sapiens (Human)	777	TFs
O95718	ERR2_HUMAN	reviewed	Steroid hormone receptor ERR2 (ERR beta-2) (Estrogen receptor-like 2) (Estrogen-related receptor beta) (ERR-beta) (Nuclear receptor subfamily 3 group B member 2)	ESRRB ERRB2 ESRL2 NR3B2	Homo sapiens (Human)	433	TFs
P50548	ERF_HUMAN	reviewed	ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)	ERF	Homo sapiens (Human)	548	TFs
P17947	SPI1_HUMAN	reviewed	Transcription factor PU.1 (31 kDa-transforming protein)	SPI1	Homo sapiens (Human)	270	TFs
P41970	ELK3_HUMAN	reviewed	ETS domain-containing protein Elk-3 (ETS-related protein ERP) (ETS-related protein NET) (Serum response factor accessory protein 2) (SAP-2) (SRF accessory protein 2)	ELK3 NET SAP2	Homo sapiens (Human)	407	TFs
P32519	ELF1_HUMAN	reviewed	ETS-related transcription factor Elf-1 (E74-like factor 1)	ELF1	Homo sapiens (Human)	619	TFs
P19419	ELK1_HUMAN	reviewed	ETS domain-containing protein Elk-1	ELK1	Homo sapiens (Human)	428	TFs
Q99581	FEV_HUMAN	reviewed	Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1)	FEV PET1	Homo sapiens (Human)	238	TFs
Q9UKW6	ELF5_HUMAN	reviewed	ETS-related transcription factor Elf-5 (E74-like factor 5) (Epithelium-restricted ESE-1-related Ets factor) (Epithelium-specific Ets transcription factor 2) (ESE-2)	ELF5 ESE2	Homo sapiens (Human)	265	TFs
P43268	ETV4_HUMAN	reviewed	ETS translocation variant 4 (Adenovirus E1A enhancer-binding protein) (E1A-F) (Polyomavirus enhancer activator 3 homolog) (Protein PEA3)	ETV4 E1AF PEA3	Homo sapiens (Human)	484	TFs
Q99607	ELF4_HUMAN	reviewed	ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor)	ELF4 ELFR MEF	Homo sapiens (Human)	663	TFs
Q9Y603	ETV7_HUMAN	reviewed	Transcription factor ETV7 (ETS translocation variant 7) (ETS-related protein Tel2) (Tel-related Ets factor) (Transcription factor Tel-2)	ETV7 TEL2 TELB TREF	Homo sapiens (Human)	341	TFs
Q06546	GABPA_HUMAN	reviewed	GA-binding protein alpha chain (GABP subunit alpha) (Nuclear respiratory factor 2 subunit alpha) (Transcription factor E4TF1-60)	GABPA E4TF1A	Homo sapiens (Human)	454	TFs
P28324	ELK4_HUMAN	reviewed	ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1)	ELK4 SAP1	Homo sapiens (Human)	431	TFs
P78545	ELF3_HUMAN	reviewed	ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1)	ELF3 ERT ESX JEN	Homo sapiens (Human)	371	TFs
P15036	ETS2_HUMAN	reviewed	Protein C-ets-2	ETS2	Homo sapiens (Human)	469	TFs
P41162	ETV3_HUMAN	reviewed	ETS translocation variant 3 (ETS domain transcriptional repressor PE1) (PE-1) (Mitogenic Ets transcriptional suppressor)	ETV3 METS PE1	Homo sapiens (Human)	512	TFs
O95238	SPDEF_HUMAN	reviewed	SAM pointed domain-containing Ets transcription factor (Prostate epithelium-specific Ets transcription factor) (Prostate-specific Ets) (Prostate-derived Ets factor)	SPDEF PDEF PSE	Homo sapiens (Human)	335	TFs
O00321	ETV2_HUMAN	reviewed	ETS translocation variant 2 (Ets-related protein 71)	ETV2 ER71 ETSRP71	Homo sapiens (Human)	342	TFs
Q15723	ELF2_HUMAN	reviewed	ETS-related transcription factor Elf-2 (E74-like factor 2) (New ETS-related factor)	ELF2 NERF	Homo sapiens (Human)	593	TFs
P14921	ETS1_HUMAN	reviewed	Protein C-ets-1 (p54)	ETS1 EWSR2	Homo sapiens (Human)	441	TFs
P41212	ETV6_HUMAN	reviewed	Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel)	ETV6 TEL TEL1	Homo sapiens (Human)	452	TFs
P50549	ETV1_HUMAN	reviewed	ETS translocation variant 1 (Ets-related protein 81)	ETV1 ER81	Homo sapiens (Human)	477	TFs
P11308	ERG_HUMAN	reviewed	Transcriptional regulator ERG (Transforming protein ERG)	ERG	Homo sapiens (Human)	486	TFs
Q6ZN32	ETV3L_HUMAN	reviewed	ETS translocation variant 3-like protein	ETV3L	Homo sapiens (Human)	361	TFs
Q01543	FLI1_HUMAN	reviewed	Friend leukemia integration 1 transcription factor (Proto-oncogene Fli-1) (Transcription factor ERGB)	FLI1	Homo sapiens (Human)	452	TFs
Q9NZC4	EHF_HUMAN	reviewed	ETS homologous factor (hEHF) (ETS domain-containing transcription factor) (Epithelium-specific Ets transcription factor 3) (ESE-3)	EHF ESE3 ESE3B ESEJ	Homo sapiens (Human)	300	TFs
P41161	ETV5_HUMAN	reviewed	ETS translocation variant 5 (Ets-related protein ERM)	ETV5 ERM	Homo sapiens (Human)	510	TFs
Q8N5J4	SPIC_HUMAN	reviewed	Transcription factor Spi-C	SPIC	Homo sapiens (Human)	248	TFs
Q01892	SPIB_HUMAN	reviewed	Transcription factor Spi-B	SPIB	Homo sapiens (Human)	262	TFs
Q9P0K8	FOXJ2_HUMAN	reviewed	Forkhead box protein J2 (Fork head homologous X)	FOXJ2 FHX	Homo sapiens (Human)	574	TFs
P55317	FOXA1_HUMAN	reviewed	Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1) (Transcription factor 3A) (TCF-3A)	FOXA1 HNF3A TCF3A	Homo sapiens (Human)	472	TFs
Q12947	FOXF2_HUMAN	reviewed	Forkhead box protein F2 (Forkhead-related activator 2) (FREAC-2) (Forkhead-related protein FKHL6) (Forkhead-related transcription factor 2)	FOXF2 FKHL6 FREAC2	Homo sapiens (Human)	444	TFs
Q12946	FOXF1_HUMAN	reviewed	Forkhead box protein F1 (Forkhead-related activator 1) (FREAC-1) (Forkhead-related protein FKHL5) (Forkhead-related transcription factor 1)	FOXF1 FKHL5 FREAC1	Homo sapiens (Human)	379	TFs
Q9C009	FOXQ1_HUMAN	reviewed	Forkhead box protein Q1 (HNF-3/forkhead-like protein 1) (HFH-1) (Hepatocyte nuclear factor 3 forkhead homolog 1)	FOXQ1 HFH1	Homo sapiens (Human)	403	TFs
Q96NZ1	FOXN4_HUMAN	reviewed	Forkhead box protein N4	FOXN4	Homo sapiens (Human)	517	TFs
Q9NU39	FX4L1_HUMAN	reviewed	Forkhead box protein D4-like 1 (FOXD4-like 1)	FOXD4L1	Homo sapiens (Human)	408	TFs
P55318	FOXA3_HUMAN	reviewed	Hepatocyte nuclear factor 3-gamma (HNF-3-gamma) (HNF-3G) (Fork head-related protein FKH H3) (Forkhead box protein A3) (Transcription factor 3G) (TCF-3G)	FOXA3 HNF3G TCF3G	Homo sapiens (Human)	350	TFs
Q12951	FOXI1_HUMAN	reviewed	Forkhead box protein I1 (Forkhead-related protein FKHL10) (Forkhead-related transcription factor 6) (FREAC-6) (Hepatocyte nuclear factor 3 forkhead homolog 3) (HFH-3) (HNF-3/fork-head homolog 3)	FOXI1 FKHL10 FREAC6	Homo sapiens (Human)	378	TFs
Q8IVH2	FOXP4_HUMAN	reviewed	Forkhead box protein P4 (Fork head-related protein-like A)	FOXP4 FKHLA	Homo sapiens (Human)	680	TFs
Q6PIV2	FOXR1_HUMAN	reviewed	Forkhead box protein R1 (Forkhead box protein N5)	FOXR1 FOXN5 DLNB13	Homo sapiens (Human)	292	TFs
Q92949	FOXJ1_HUMAN	reviewed	Forkhead box protein J1 (Forkhead-related protein FKHL13) (Hepatocyte nuclear factor 3 forkhead homolog 4) (HFH-4)	FOXJ1 FKHL13 HFH4	Homo sapiens (Human)	421	TFs
Q12952	FOXL1_HUMAN	reviewed	Forkhead box protein L1 (Forkhead-related protein FKHL11) (Forkhead-related transcription factor 7) (FREAC-7)	FOXL1 FKHL11 FREAC7	Homo sapiens (Human)	345	TFs
Q99958	FOXC2_HUMAN	reviewed	Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14)	FOXC2 FKHL14 MFH1	Homo sapiens (Human)	501	TFs
P85037	FOXK1_HUMAN	reviewed	Forkhead box protein K1 (Myocyte nuclear factor) (MNF)	FOXK1 MNF	Homo sapiens (Human)	733	TFs
P58012	FOXL2_HUMAN	reviewed	Forkhead box protein L2	FOXL2	Homo sapiens (Human)	376	TFs
Q13461	FOXE3_HUMAN	reviewed	Forkhead box protein E3 (Forkhead-related protein FKHL12) (Forkhead-related transcription factor 8) (FREAC-8)	FOXE3 FKHL12 FREAC8	Homo sapiens (Human)	319	TFs
